,Future Years,Life Expectancy
0,2016,82.56161589669551
1,2017,82.83086375598845
2,2018,83.10011161528138
3,2019,83.36935947457431
4,2020,83.63860733386724
5,2021,83.90785519316029
6,2022,84.17710305245322
7,2023,84.44635091174615
8,2024,84.71559877103908
9,2025,84.98484663033202
10,2026,85.25409448962495
11,2027,85.52334234891788
12,2028,85.79259020821092
13,2029,86.06183806750386
14,2030,86.33108592679679
15,2031,86.60033378608972
16,2032,86.86958164538265
17,2033,87.13882950467558
18,2034,87.40807736396852
19,2035,87.67732522326145
20,2036,87.94657308255438
21,2037,88.21582094184743
22,2038,88.48506880114036
23,2039,88.75431666043329
24,2040,89.02356451972622
